Item#	Category	Product Name	Vendor	Price	Spec	Expiration Date
579442	Cat Food (Wet)	Fancy Feast Gravy Lovers Poultry & Beef Feast Variety Pack Canned Cat Food	Fancy Feast	19.2	case of 24 (3-oz can)	12/22/2022
579443	Cat Food (Wet)	Fancy Feast Gravy Lovers Poultry & Beef Feast Variety Pack Canned Cat Food	Fancy Feast	24	case of 30 (3-oz can)	12/22/2022
579444	Cat Food (Wet)	Fancy Feast Grilled Seafood Feast Variety Pack Canned Cat Food	Fancy Feast	19.2	case of 24 (3-oz can)	12/22/2022
579445	Cat Food (Wet)	Fancy Feast Grilled Seafood Feast Variety Pack Canned Cat Food	Fancy Feast	24	case of 30 (3-oz can)	12/22/2022
579446	Cat Food (Wet)	Fancy Feast Gravy Lovers Poultry & Beef Feast Variety Pack Canned Cat Food	Fancy Feast	19.2	case of 24 (3-oz can)	12/22/2022
579447	Cat Food (Wet)	Fancy Feast Gravy Lovers Poultry & Beef Feast Variety Pack Canned Cat Food	Fancy Feast	24	case of 30 (3-oz can)	12/22/2022
579448	Cat Food (Wet)	Friskies Pate Seafood & Chicken Variety Pack Canned Cat Food	Friskies	28	case of 40 (5.5-oz)	12/22/2022
579449	Cat Food (Wet)	Friskies Classic Pate Variety Pack Canned Cat Food	Friskies	16.8	case of 24 (5.5-oz)	12/22/2022
579450	Cat Food (Wet)	Friskies Chicken Lovers Variety Pack Canned Cat Food	Friskies	22.4	case of 32 (5.5-oz)	12/22/2022
579451	Cat Food (Wet)	Friskies Surfin' & Turfin' Favorites Variety Pack Canned Cat Food	Friskies	28	case of 40 (5.5-oz)	12/22/2022
579452	Cat Food (Dry)	Meow Mix Original Choice Dry Cat Food	Meow Mix	4.99	3.15-lb bag	12/22/2022
579453	Cat Food (Dry)	Meow Mix Original Choice Dry Cat Food	Meow Mix	9.89	6.3-lb bag	12/22/2022
579454	Cat Food (Dry)	Meow Mix Original Choice Dry Cat Food	Meow Mix	14.99	16-lb bag	12/22/2022
579455	Cat Food (Dry)	Meow Mix Original Choice Dry Cat Food	Meow Mix	20.49	22-lb bag	12/22/2022
579456	Cat Food (Dry)	Tiny Tiger Natural Indoor Recipe Chicken Flavor Dry Cat Food	Tiny Tiger	14.59	13-lb bag	12/22/2022
579457	Cat Food (Dry)	Tiny Tiger Natural Indoor Recipe Chicken Flavor Dry Cat Food	Tiny Tiger	19.84	18-lb bag	12/22/2022
579458	Cat Food (Dry)	Cat Chow Joint Health Essentials 7+ Immune Recipe Senior Dry Cat Food	Cat Chow	25.16	case of 4 (3.15-lb bag)	12/22/2022
579459	Cat Treat	PureBites Chicken Breast Freeze-Dried Raw Cat Treats	PureBites	3.64	0.6-oz bag	12/22/2022
579460	Cat Treat	PureBites Chicken Breast Freeze-Dried Raw Cat Treats	PureBites	5.89	1.09-oz bag	12/22/2022
579461	Cat Treat	PureBites Chicken Breast Freeze-Dried Raw Cat Treats	PureBites	11.89	2.3-oz bag	12/22/2022
